overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image,sentiment,cleaned_text,enhanced_rating,rating_diff
3,,True,"10 26, 2016",A3UZQJHSYEOKSO,B005ESMJ02,{'Gift Amount:': ' 100'},Amazon Customer,BEAUTIFUL TO LOOK AT AND WITH A SURPRISE INSIDE!,Three Stars,1477440000,,Neutral,beautiful look surprise inside!,3.5939,0.5939000000000001
3,,True,"01 21, 2017",A11IZVIOKSV6FX,B00G4IV2VI,,Amazon Customer,This card was satisfactory but more variety is needed,Three Stars,1484956800,,Neutral,card satisfactory variety needed,3.1521,0.1520999999999999
2,3,True,"01 3, 2014",A3GI4WJMV6497L,B00FTJI60I,,Ashley,The gift Card are not NOT_accepted NOT_at NOT_many of the subways come to find out. When tried at one said there was no NOT_balance NOT_but NOT_when I call the 1800 there was a 10 balance,Gift Card,1388707200,,Negative,gift card not notaccepted notat notmany subway come find tried one said no notbalance notbut notwhen call balance,2.5423,0.5423
3,,True,"06 22, 2018",AKBWM0HWA4YT6,B01E4QUN0W,{'Gift Amount:': ' 100'},GulfCoastman,It's a gift card.,Three Stars,1529625600,,Neutral,gift card,3.3523,0.35230000000000006
5,,True,"07 13, 2016",A3CZ3HWWWDAWAU,B0091JKY0M,{'Gift Amount:': ' 50'},jay o,Easy.,Five Stars,1468368000,,Positive,easy,4.5523,0.4477000000000002
1,,True,"03 6, 2015",A2Y71ALS570E7B,B004KNWX3U,,Matt,not NOT_usable NOT_on NOT_amazon australia. disapionted.,ehhh!,1425600000,,Negative,not notusable noton notamazon australia disapionted,1.8,0.8
3,,False,"10 14, 2014",A2SFO3UI5SJCPV,B004Q7CK9M,,R,"The card is flimsy and paper is not NOT_even NOT_remotely NOT_high quality, but it was free, so I ca not NOT_complain NOT_too NOT_much. The instructions on how to use the gift card are printed on the back of the card (which is maybe a little tacky, but whatever, just make sure when you put the card in the envelope, you have the front showing when they rip it open), but otherwise the card comes exactly as shown in the picture. You can add a ""gift message"" at check out, however it is NOT NOT_printed NOT_inside NOT_the card. Not NOT_a NOT_big NOT_deal - just make sure you send it to yourself instead of the intended recipient, otherwise they'll be getting a blank card with a slip of paper wishing them a happy birthday or speedy recovery!","Obviously gift cards are awesome, so this review is for the card itself.",1413244800,,Neutral,card flimsy paper not noteven notremotely nothigh quality free ca not notcomplain nottoo notmuch instruction use gift card printed back card maybe little tacky whatever make sure put card envelope front showing rip open otherwise card come exactly shown picture add gift message check however not notprinted notinside notthe card not nota notbig notdeal make sure send instead intended recipient otherwise theyll getting blank card slip paper wishing happy birthday speedy recovery!,3.7834,0.7833999999999999
5,,True,"01 29, 2015",A23YRVBETV8GZZ,B00G4IV2VI,,Gustavo Camacho Rodriguez,Excellent delivering...,Five Stars,1422489600,,Positive,excellent delivering,4.6575,0.34250000000000025
5,,True,"01 15, 2017",A384C8P1GDXMRN,B01E4QS95I,{'Gift Amount:': ' 50'},Amazon Customer,Perfect if you ca not NOT_decided NOT_what NOT_gift to purchase.,Simple gift giving.,1484438400,,Positive,perfect ca not notdecided notwhat notgift purchase,4.6575,0.34250000000000025
5,,True,"03 5, 2016",AIZLEU47M61QL,B00GRL9KCA,,Dominick,Nice,Five Stars,1457136000,,Positive,nice,4.5372,0.46279999999999966
5,,True,"01 2, 2018",A1O6HFR2RSCGV9,B00BXLVFAO,,Georgeann,thanks,Five Stars,1514851200,,Positive,thanks,4.5523,0.4477000000000002
5,,True,"11 30, 2012",AKFOHJ9R66KUN,B004Q7CK9M,{'Gift Amount:': ' 50'},Amazon Customer,"And you can even use it for stuff other than Kindle books. Which is nice, but with so many books out there you probably wo not NOT_want NOT_to",Amazon gift card!,1354233600,,Positive,even use stuff kindle book nice many book probably wo not notwant notto,4.381,0.6189999999999998
1,5,False,"04 17, 2016",A1BPLFGBW90Z6Z,B00BXLTR6S,,Paula F,"anyone giving this crap card more than 1 star either works for the company or has never NOT_used NOT_a NOT_gift card. You ca not NOT_use NOT_this NOT_at the theater, you ca not NOT_use NOT_it NOT_for concessions. You HAVE to buy tickets online and they charge you a ""convenience fee"". There's nothing NOT_convenient NOT_about NOT_this card.","no, no, no.  I said no!!",1460851200,,Negative,anyone giving crap card star either work company never notused nota notgift card ca not notuse notthis notat theater ca not notuse notit notfor concession buy ticket online charge convenience fee there nothing notconvenient notabout notthis card,1.6775,0.6775
2,,True,"05 5, 2015",ADUOVEZSVVN2B,B00H5BM6JU,,K H M Weale,"Limited choice and difficult to review properly with such small icons, to the extent that I sent a 13 year old boy a card meant for a girl!",Girl vs Boy,1430784000,,Negative,limited choice difficult review properly small icon extent sent year old boy card meant girl!,1.9434,0.056599999999999984
5,,True,"02 18, 2018",AMPMN9NQQ9KJI,B014S24DAI,{'Gift Amount:': ' 50'},gg,Always great to give or have a amazon gift card what better gioxN you give,Five Stars,1518912000,,Positive,always great give amazon gift card better gioxn give,4.9128,0.08720000000000017
1,,True,"11 26, 2016",A1R0ATWDI3KM8M,B005ESMFP6,,Alex Hayes,Well the grift cards came fast but the wrong design,Wrong gift card design,1480118400,,Negative,well grift card came fast wrong design,1.3541,0.3541000000000001
5,,True,"06 3, 2015",A3RTVMCCK9NKH5,B00H5BMH44,,Deanna Cook,Fast and easy to understand steps,Five Stars,1433289600,,Positive,fast easy understand step,4.5523,0.4477000000000002
3,,True,"12 22, 2014",AFB3S1V108JDU,B004LLILPU,,pnina,Cards are fine altho' not NOT_very NOT_interestingly NOT_designed BUT not NOT_received NOT_by NOT_recipients for two days. Long after the start of Hanukkah.,Better if they weren't delivered late with no explanation.,1419206400,,Neutral,card fine altho not notvery notinterestingly notdesigned not notreceived notby notrecipients two day long start hanukkah,3.0822,0.08219999999999983
5,,True,"01 12, 2018",A1YX95P5IA9O0A,B004Q7CK9M,{'Gift Amount:': ' 25'},Lyndylu,Great gift for a family member that buys things on Amazon.,The card was awesome.,1515715200,,Positive,great gift family member buy thing amazon,4.8617,0.1383000000000001
5,,True,"03 9, 2017",A2VLZZ3G2IK5KP,B00UW1CEMY,,MikesWife34,Worked perfectly. Had no NOT_problems NOT_redeeming NOT_the gift cards at merchant.,Worked perfectly,1489017600,,Positive,worked perfectly no notproblems notredeeming notthe gift card merchant,4.7677,0.2323000000000004
1,,False,"12 5, 2017",A2XZ6JQNHGCV6M,B01GKZ3SQG,,Calvo69,Gift card came ripped but package delivered in was perfectly fine. I cannot return this so now I have to gift it as is.,Damaged,1512432000,['https://images-na.ssl-images-amazon.com/images/I/71tQoeNcWRL._SY88.jpg'],Negative,gift card came ripped package delivered perfectly fine cannot return gift,2.544,1.544
1,2,True,"07 29, 2017",A4H5WS355YS21,B00PABVTS6,,Anne Smith,"Complete rip-off. I have purchased a physical gift card for Jo-Ann in the past and was given a gift card with the correct amount. With this one, I went into Jo-Ann for my first purchase, and realized after I'd made my purchase, the card only had $16 on it, instead of $25. Complete and total rip-off.","Complete rip-off, buy a physical card instead",1501286400,,Negative,complete ripoff purchased physical gift card joann past given gift card correct amount one went joann first purchase realized id made purchase card instead complete total ripoff,2.3602,1.3601999999999999
3,,True,"01 20, 2014",A38G4SMY594R56,B004LLILOG,,Susan Hubbard,I chose this rating because no NOT_message NOT_was NOT_written in the cards that I put online. I was disappointed that our employees did not NOT_receive NOT_the NOT_personal message because they had no NOT_idea NOT_where NOT_it came from.,Amazon Gift Cards,1390176000,,Neutral,chose rating no notmessage notwas notwritten card put online disappointed employee not notreceive notthe notpersonal message no notidea notwhere notit came,2.3937,0.6063000000000001
2,2,True,"12 20, 2016",A2L45QSKXLZ3G8,B0091JKJ0M,{'Gift Amount:': ' 50'},Pat Miller,I do not NOT_see NOT_anywhere NOT_on the front or back of the card to indicate its value. I order different denominations of cards and ca not NOT_tell NOT_one NOT_from the other unless I read the serial number. How is the recipient to know the value of their gift when received?,Recipient in the dark as to value.,1482192000,,Negative,not notsee notanywhere noton front back card indicate value order different denomination card ca not nottell notone notfrom unless read serial number recipient know value gift received,3.0325,1.0325000000000002
3,,True,"04 16, 2018",A2478J1Z7FCL5B,B004LLIKVU,{'Gift Amount:': ' 50'},Richelle McMicael,"It's a gift card,what else can I say!","It's a gift card, what else can I say ...",1523836800,,Neutral,gift cardwhat else say!,3.3941,0.3940999999999999
1,,True,"02 2, 2018",AL4BXHC2YIWWS,B0091JKVU0,{'Gift Amount:': ' 0'},David Hamm,There was no NOT_value NOT_on NOT_the card.,One Star,1517529600,,Negative,no notvalue noton notthe card,1.5632,0.5631999999999999
4,,True,"01 5, 2017",A1OON8CK6HXK5O,B004Q7CK9M,{'Gift Amount:': ' 100'},Jen-Hao L.,It's good but it was folded when it was delivered.,Four Stars,1483574400,,Positive,good folded delivered,3.7906,0.20940000000000003
3,,True,"01 7, 2015",A2N9O6KMEEZQ15,B004KNWX1M,,Enid Beck,"It did not NOT_print NOT_in NOT_color. Not NOT_sure NOT_why, NOT_when I have color ink.",Three Stars,1420588800,,Neutral,not notprint notin notcolor not notsure notwhy notwhen color ink,3.0,0.0
1,,False,"12 28, 2014",A1TBW361UWNBOY,B0091JKY0M,{'Gift Amount:': ' 50'},Fdub,Came in slightly dented,Tin dented,1419724800,,Negative,came slightly dented,1.8,0.8
3,,True,"07 21, 2014",A1FWB63XV3N5EL,B004Q7CK9M,{'Gift Amount:': ' 100'},Nancy  Breen,same applies as above,Three Stars,1405900800,,Neutral,applies,3.0,0.0
3,,True,"12 23, 2013",AWX0AONVVL1QM,B004Q7CK9M,{'Gift Amount:': ' 25'},rainydaysunset,"Do not NOT_believe NOT_1-day NOT_shipping will happen. Do not NOT_believe NOT_it NOT_might come on day 2. Believe that it will be late and you will have to have family pick it up from the delivery company's facilities after they make 3 attempts because those happened to be the 3 days you were on vacation. It makes sense that they would require signature for gift cards instead of having the post office put it in my mailbox, and I like that there are so many more options for the gift cards online, but I'll be buying the totally plain ones from the kiosks at the grocery store from now on.",NOT 1-day Shipping,1387756800,,Neutral,not notbelieve notday notshipping happen not notbelieve notit notmight come day believe late family pick delivery company facility make attempt happened day vacation make sense would require signature gift card instead post office put mailbox like many option gift card online ill buying totally plain one kiosk grocery store,3.4518,0.4518
3,,True,"02 2, 2014",AIRHQT17JSE5O,B004Q7CK9M,{'Gift Amount:': ' 25'},Sherrie E Brown,"I had a hard time trying to get my son in law something from his gift list. So I decided the easiest would be a gift card. Which you said it would arrive on Sunday at the UPS mail box, which was not NOT_so, NOT_and NOT_I had to check around where it was and to deliver it. I was on the phone for over an hour at the PO. Busy time for Christmas. The PO said that he would have to go to that PO and pick it up (by his UPS store). Which was a very small crowded PO in San Diego. Well, they finally delivered it to the UPS store. I will not NOT_do NOT_a NOT_gift card again.",Gift card,1391299200,,Neutral,hard time trying get son law something gift list decided easiest would gift card said would arrive sunday ups mail box not notso notand noti check around deliver phone hour po busy time christmas po said would go po pick ups store small crowded po san diego well finally delivered ups store not notdo nota notgift card,2.4278,0.5722
1,,True,"04 15, 2016",AOT07UM950CGO,B018UPUQ5A,,lizzy,"It was supposed to be a gift, and had nothing NOT_but NOT_problems NOT_with it. Fortunately, customer service was good to refund, but this rating is not NOT_for NOT_customer NOT_service - which probably depends on who you get anyway. NEVER NOT_buying NOT_an NOT_amazon gift card again.",Don't risk it,1460678400,,Negative,supposed gift nothing notbut notproblems notwith fortunately customer service good refund rating not notfor notcustomer notservice probably depends get anyway never notbuying notan notamazon gift card,2.42,1.42
1,4,True,"07 19, 2016",AEA4K2QAWPVPR,B00GU2ZZ8Y,,Jaime Geyer,You CAN NOT NOT_use NOT_this NOT_for in-flight purchases so I ended up returning it.,One Star,1468886400,,Negative,not notuse notthis notfor inflight purchase ended returning,1.8,0.8
1,,True,"06 1, 2014",AZ0AHQEM30HR1,B0062ONF64,,Bek Leard,"Terrible. It's way too hard to use!! Too confusing to use at the kindle check out!! It will only let me use my credit card to purchase, there is no NOT_simple NOT_gift NOT_card option.",Too complicated to use,1401580800,,Negative,terrible way hard use!! confusing use kindle check out!! let use credit card purchase no notsimple notgift notcard option,1.2139,0.21389999999999998
1,,True,"11 5, 2017",ABEBRRQDTTAFJ,B00BXLSSOU,,Amazon Customer,"My card had no NOT_money NOT_on NOT_it, and unfortunately I did not NOT_notice NOT_until NOT_it was too late to return. CHECK YOUR CARD BALANCE ONCE YOU GET IT!",No money loaded on card,1509840000,,Negative,card no notmoney noton notit unfortunately not notnotice notuntil notit late return check card balance get it!,1.3214,0.3213999999999999
3,,True,"03 21, 2013",A1QD9D5G0CGP41,B00895H7FO,,V. Ferguson,"Was kind of disappointed that I could not NOT_use NOT_it NOT_for the prime membership. I used it for my games,music and books though.",Kindle card,1363824000,,Neutral,kind disappointed could not notuse notit notfor prime membership used gamesmusic book though,2.5795,0.4205000000000001
1,12,True,"07 19, 2013",A3953XA8DMVSE3,B004KNWWP4,,JDoe,There is a problem with this design. It defaults to the Amazon symbol. My complaint went unanswered. I finally gave up waiting & had to select a different design. Check my constant correspondence and frustration in my emails! I never NOT_did NOT_get NOT_a response about the problem.,Frustrated with Amazon's unresponsiveness to problem!,1374192000,,Negative,problem design default amazon symbol complaint went unanswered finally gave waiting select different design check constant correspondence frustration emails! never notdid notget nota response problem,1.1187,0.11870000000000003
3,,True,"09 18, 2013",A1AU6L55AJ9G4N,B00BWDHUWA,,Scott Golightly,I do not NOT_know NOT_why NOT_but the sound and animation did not NOT_work NOT_for NOT_the person I sent the gift card to. They were a little disappointed but they could still use the gift card so it was not NOT_a NOT_total NOT_wash.,Didn't work for the recipient,1379462400,,Neutral,not notknow notwhy notbut sound animation not notwork notfor notthe person sent gift card little disappointed could still use gift card not nota nottotal notwash,3.4791,0.47909999999999986
3,,True,"12 3, 2015",A17UCJG3YE815X,B00AR51Y5I,,Sailor Man,"its a gift card! It is reliable, flexible and appreciated! What can one say?","its a gift card! It is reliable, flexible ...",1449100800,,Neutral,gift card! reliable flexible appreciated! one say,3.6611,0.6610999999999998
3,,True,"12 8, 2014",A3JCQ5IKQ6PUZN,B004KNWWU4,,Kitch,"I may have ordered the wrong item. I thought I would be able to email it direct to them so that they open the card and then enter the code under their own Amazon membership. As it turned out I had to open the card myself, then send the code to my intended recipient. Choice of pictures etc. was good.",Not what I thought it was,1417996800,,Neutral,may ordered wrong item thought would able email direct open card enter code amazon membership turned open card send code intended recipient choice picture etc good,3.1024,0.10239999999999982
3,,True,"01 22, 2017",A3SD5ORYTI363N,B00CHQ7I2S,{'Gift Amount:': ' 100'},Kindle Customer,I thought the card would go directly to my daughter thus the request for her info. I do like the tin and am currently using it. Thank you.,I do like the tin and am currently using it,1485043200,,Neutral,thought card would go directly daughter thus request info like tin currently using thank,3.4899,0.4899
1,,True,"07 19, 2018",A3DGBRM620MJ5B,B00MV9M0UQ,,B. Hall,Bogus! Cracker Barrel said the e gift card was a scam when my mother tried to redeem it.,Scam!,1531958400,,Negative,bogus! cracker barrel said e gift card scam mother tried redeem,1.5829,0.5829
3,,True,"01 11, 2018",A9OM4AWNSTBLK,B0187SVTQU,,Cc214,Gift to other. Nice and easy process.,Nice and easy process,1515628800,,Neutral,gift nice easy process,3.658,0.6579999999999999
5,,True,"06 27, 2014",A3NKW3MOR4PZ46,B00H5BMHS0,,Darrian kirkland,I love this it made me happy to make my cousin laugh. We love hoops and yo yo. And it's so convenient I will defently be using this from now on.,Funny,1403827200,,Positive,love made happy make cousin laugh love hoop yo yo convenient defently using,4.9594,0.040600000000000414
3,,True,"03 13, 2014",A16CCLIBZY0V3C,B00CHSWG6O,,Carol C. West,"Did not NOT_hear NOT_back NOT_from her that she got it, did she get it? Was it used? Would like to know tbat she used it.",Did Emie get my gift?,1394668800,,Neutral,not nothear notback notfrom got get used would like know tbat used,3.3463,0.34629999999999983
3,,True,"03 14, 2018",A2HCIFUVT8OWYZ,B004LLIKVU,{'Gift Amount:': ' 50'},Sarah Major,Gift voucher arrived promptly. Was not NOT_happy NOT_with NOT_the exchange rate you gave me. In future if I send gift voucher will pay in US dollars.,Wasn't happy with the exchange rate you gave me,1520985600,,Neutral,gift voucher arrived promptly not nothappy notwith notthe exchange rate gave future send gift voucher pay u dollar,3.5278,0.5278
3,,True,"03 30, 2018",A7FIZOOUKLJDA,B00G4IURXW,,Carol Matousek,OK,OK,1522368000,,Neutral,ok,3.2368,0.23680000000000012
1,11,False,"11 19, 2014",AFFNBKSTE58VK,B00BXLSM0A,,Sarah Stanley,I bought this for a friends birthday back in August. She just tried to use it and it would not NOT_work. NOT_The NOT_store clerk called the number on the back and they said the card had never NOT_been NOT_activated/there NOT_had never NOT_been NOT_any NOT_money put on it. Do not NOT_buy NOT_this.,I bought this for a friends birthday back in August ...,1416355200,,Negative,bought friend birthday back august tried use would not notwork notthe notstore clerk called number back said card never notbeen notactivatedthere nothad never notbeen notany notmoney put not notbuy notthis,2.2214,1.2214
5,,True,"02 23, 2018",A9429C07RCV7,B004LLIKVU,{'Gift Amount:': ' 50'},Gary,I bought this as a gift to send online to a friend overseas. It was easy to purchase and send to my friend. I'd certainly use these gift cards again.,Convenient and easy to arrange.,1519344000,,Positive,bought gift send online friend overseas easy purchase send friend id certainly use gift card,4.9582,0.04180000000000028
1,,True,"03 15, 2014",A1IBRWTNQT60ME,B00B2TFSO6,,elizabeth,"I^ve been trying to buy a gift card since last year but its impossible . you send me an email canceling my order, last year happened the same situation and I coulnd`t use my complete credit . In your email you say that the problem is with my bank but here they say that everything its ok, there is not NOT_any NOT_problem NOT_. So I need solve this situation as soon as possible. this has been very unconfortable to me because I^ve lost the opportunity to buy things I need with other prices. In my country the situation with the dollars are not NOT_ok NOT_so NOT_please HELP ME TO SOLVE THIS SITUATION",I need help please!,1394841600,,Negative,ive trying buy gift card since last year impossible send email canceling order last year happened situation coulndt use complete credit email say problem bank say everything ok not notany notproblem not need solve situation soon possible unconfortable ive lost opportunity buy thing need price country situation dollar not notok notso notplease help solve situation,2.536,1.536
1,5,True,"03 8, 2017",A31P9DWMMUGCQO,B01BN3LM4A,,SC1842,This $100 card was never NOT_delivered NOT_to NOT_the recipient. Been 6 weeks. Seems to be a common issue reading a couple of the other comments. Currently trying to get a refund.,Never Delivered,1488931200,,Negative,card never notdelivered notto notthe recipient week seems common issue reading couple comment currently trying get refund,1.8,0.8
2,16,True,"12 11, 2013",A2AKP1EWWYITMY,B00BXLT5EW,,Kim,"This was sent as a gift to someone else. The provided message to the recipient was not NOT_included NOT_in NOT_the package. There was no NOT_packing NOT_slip NOT_or anything. So, the recipients opened the box and had no NOT_idea NOT_who NOT_it was from, or why, etc. Terrible experience.",Very poor execution on something basic,1386720000,,Negative,sent gift someone else provided message recipient not notincluded notin notthe package no notpacking notslip notor anything recipient opened box no notidea notwho notit etc terrible experience,1.9541,0.04590000000000005
5,,True,"06 27, 2015",A1LNSO8D74S5XA,B00BWDH8C2,,Treat others w respect,Very convenient for me and loved by receiver :-),Fast and convenient,1435363200,,Positive,convenient loved receiver,4.7881,0.21189999999999998
1,,True,"05 29, 2013",A4XS9ZXQN6UFA,B0062ONCQC,,Mary Anne Fitzgerald,I had a problem with this item -- it would not NOT_print NOT_the NOT_gift card. I tried 10 times--finally cancelled the order and placed an order for the hard card.,Amazon print gift card,1369785600,,Negative,problem item would not notprint notthe notgift card tried timesfinally cancelled order placed order hard card,1.3001,0.30010000000000003
5,,True,"01 28, 2015",AX57WALANARNY,B0062ONJ6U,,Joann Dietz,It was perfect. Easy to choose from the different cards and it was delivered in 5 minutes. Could not NOT_be NOT_better.,It was perfect. Easy to choose from the different cards and ...,1422403200,,Positive,perfect easy choose different card delivered minute could not notbe notbetter,4.812,0.18799999999999972
4,,True,"09 17, 2014",A3RPOBXHAK7U9W,B00H5BNTBY,,Melkel,"I ca not NOT_really NOT_rate NOT_this as, it was a gift. But it was easy to purchase and met my gift needs.",But it was easy to purchase and met my gift needs,1410912000,,Positive,ca not notreally notrate notthis gift easy purchase met gift need,4.2913,0.29129999999999967
1,,True,"02 3, 2013",A3R9YW9C4XMS3S,B00A4NSZH8,,Kat,"The Facebook interface does not NOT_work. NOT_I NOT_saw it on MY wall, but the recipient never NOT_saw NOT_it NOT_on hers, so never NOT_claimed NOT_the NOT_gift. I re-sent it twice, even. It's a mistake to send via Facebook. Email works much better.",The recipient never saw the gift on her wall.,1359849600,,Negative,facebook interface not notwork noti notsaw wall recipient never notsaw notit noton never notclaimed notthe notgift resent twice even mistake send via facebook email work much better,1.9521,0.9521
5,,True,"06 14, 2018",AV4JQHCF03ZWO,B00BXLVFAO,,Stacia Lynn,as expected,as expected,1528934400,,Positive,expected,4.2,0.7999999999999998
4,,True,"05 20, 2013",A1ON8X1VDC8NUI,B0066AZGJI,,Anooj Ram,"This is just what I needed. With almost everything available on Amazon, this is the best no NOT_fuss NOT_present, NOT_as well as the option to personalize it with picture ... just loved it.",Good way to personalize,1369008000,,Positive,needed almost everything available amazon best no notfuss notpresent notas well option personalize picture loved,4.2926,0.2926000000000002
3,,True,"12 17, 2016",A237X311SM9BG2,B01B25LZCI,{'Gift Amount:': ' 25'},Sanjay A.,"It looked like a box, but it's really a flat sheet, which appears to look like a box in the picture where you see it in a hand.",It looked like a box,1481932800,,Neutral,looked like box really flat sheet appears look like box picture see hand,3.6815,0.6815000000000002
5,,True,"07 16, 2016",A1HGVF8K13ALFI,B00H5BN6V2,,Alesha M.,My father enjoyed it...so it was totally worth it!,Daddy approved,1468627200,,Positive,father enjoyed itso totally worth it!,4.7591,0.2408999999999999
2,,True,"01 26, 2015",A11RAUXC8DSQQN,B00G4IV2VI,,Barbara Stewart,Very easy to order and send to recipients. I used yhis site decal times for gift to out of town family and friends,Very easy to order and send to recipients,1422230400,,Negative,easy order send recipient used yhis site decal time gift town family friend,3.0783,1.0783
1,,True,"01 16, 2017",ADICKXKFNKLMQ,B0091JKVU0,{'Gift Amount:': ' 50'},Louise Avery,Love the holiday tin...very creative. Perfect gift from Seattle.,Perfect Seattle Gift,1484524800,,Negative,love holiday tinvery creative perfect gift seattle,2.5574,1.5574
1,25,True,"04 9, 2014",ACQFJFDS3165I,B00F2RZMEA,,Raodmo,Would not NOT_recommend NOT_this NOT_card. The first card we purchased for $25 had no NOT_funds NOT_... NOT_we called Amazon and they sent a new card out but it did not NOT_have NOT_any NOT_funds either.,No funds on 2 cards,1397001600,,Negative,would not notrecommend notthis notcard first card purchased no notfunds not notwe called amazon sent new card not nothave notany notfunds either,1.6268,0.6268
3,,True,"12 7, 2016",A3FS9XDXLGQK8J,B00PG8502O,,Jarren,"A giftcard is a giftcard---not much to critique! I will say, however, the item (not the packaging) arrived damaged and the amount of packaging for a tiny gift card was ridiculous.",A giftcard is a giftcard---not much to critique! I ...,1481068800,,Neutral,giftcard giftcardnot much critique! say however item not packaging arrived damaged amount packaging tiny gift card ridiculous,2.6641,0.3359000000000001
1,8,True,"04 18, 2015",A28F91GQR1UI8D,B00P9VHCBU,,Donna Saunders,"I put all of the point on my Zynga poker account, they NEVER NOT_gave NOT_me NOT_the chips. I have contacted their customer service 3 times and have been told the matter is CLOSED and there is no NOT_number NOT_to NOT_call. That's 25.00 down the toilet! I will never NOT_use NOT_this NOT_again",I put all of the point on my Zynga poker ...,1429315200,,Negative,put point zynga poker account never notgave notme notthe chip contacted customer service time told matter closed no notnumber notto notcall thats toilet! never notuse notthis notagain,1.5294,0.5294000000000001
1,,True,"04 21, 2018",A2G9YV25CZC6CS,B01FYJMJHI,,Amazon Customer,"Getting to be ridiculous! Been in here for 1 hour. Albertsons billings mt, grand and 30th. Acting like were criminals to use our 102$ gift cards. Told them it was not NOT_our NOT_first NOT_time. And to follow the instructions. But they know better of course. Have to call headquarters to verify that we are not NOT_scanning NOT_them.",Acting like were criminals to use our 102$ gift cards,1524268800,,Negative,getting ridiculous! hour albertsons billing mt grand th acting like criminal use gift card told not notour notfirst nottime follow instruction know better course call headquarters verify not notscanning notthem,2.3558,1.3558
3,,True,"11 9, 2017",A3NJNHQSZZ0J5O,B0078EPBHI,,Darrel,Ok.,Three Stars,1510185600,,Neutral,ok,3.0,0.0
3,,True,"08 21, 2016",A1IXYS71VJQNMN,B014S24DAI,{'Gift Amount:': ' 50'},Bookworm,I about tore it apart thinking it came in an actual box like they did before. Glad I saw some glue and left if alone before I gifted it. :),... it apart thinking it came in an actual box like they did before,1471737600,,Neutral,tore apart thinking came actual box like glad saw glue left alone gifted,3.6063,0.6063000000000001
5,,True,"03 7, 2018",A296ONG55IPQRR,B004LLIKVU,{'Gift Amount:': ' 50'},Nancy M. Atkinson,Liked it!,Five Stars,1520380800,,Positive,liked it!,4.5802,0.4198000000000004
1,7,True,"07 8, 2016",A3AQ7X1II6RVRJ,B00MV9P8MS,,ken,"barcodes never NOT_work, NOT_do not NOT_waste NOT_your NOT_time",dont waste your,1467936000,,Negative,barcodes never notwork notdo not notwaste notyour nottime,1.8,0.8
5,,True,"01 8, 2016",A2RBBXV3TL1QIC,B00JJ5A0GQ,,Amazon Customer,Bought it for bestfriend's bday. She loves it. So happy Amazon sells gift cards. Very convenient.,So happy Amazon sells gift cards,1452211200,,Positive,bought bestfriends bday love happy amazon sell gift card convenient,4.929,0.07099999999999973
3,,False,"01 27, 2012",A2UOGN4DVK285Q,B005ESMMWW,,Claire Hovey,I enjoy my kindle & also the gift cards I received. Being able to go into Amazon & have books sent to my kindle is great.,Love My Kindle,1327622400,,Neutral,enjoy kindle also gift card received able go amazon book sent kindle great,3.7183,0.7183000000000002
3,,True,"03 27, 2018",A1BLT13W5YNV4O,B004LLIKVU,{'Gift Amount:': ' 50'},Kindle Customer,"I like the convenience of e-mailing this to a friend; however, it went to her spam folder and she almost missed it. I had to tell her to look for it.",I like the convenience of e-mailing this to a friend,1522108800,,Neutral,like convenience emailing friend however went spam folder almost missed tell look,3.2534,0.25340000000000007
1,,True,"11 6, 2012",A17E9WNL0SDN6D,B004LLIL4G,,T Hillman,Ca not NOT_see NOT_myself NOT_ever ordering a gift cert. to be sent by email again as I was mortified to discover two weeks later that my good friend had not NOT_received NOT_her NOT_certificate on her birthday. Very embarassing.,not reliable,1352160000,,Negative,ca not notsee notmyself notever ordering gift cert sent email mortified discover two week later good friend not notreceived nother notcertificate birthday embarassing,2.4722,1.4722
3,,False,"06 8, 2018",A3QFHQDL8LFA73,B01B25M52W,{'Gift Amount:': ' 0'},Beverly J. McNulty,"I bought two of these gift cards for a double baby shower I was attending. I found it a little awkward to open as did one of the recipients. On my order I checked off that it was a gift. By checking off it was a gift the cards were supposed to come with a gift receipt stating the amount, how to use it and who it was from. The gift receipts were not NOT_in NOT_my NOT_package. I am just hoping that the recipients do not NOT_have NOT_a NOT_problem with them. The packaging was cute but I did have to buy a card and a gift bag for the gift cards.",No gift receipt as promised.,1528416000,,Neutral,bought two gift card double baby shower attending found little awkward open one recipient order checked gift checking gift card supposed come gift receipt stating amount use gift receipt not notin notmy notpackage hoping recipient not nothave nota notproblem packaging cute buy card gift bag gift card,3.7625,0.7625000000000002
3,,True,"06 22, 2015",A17UCRKD80RUGT,B00BXLSM0A,,Coqui2k,Not NOT_the NOT_type NOT_of store I expected. The Gift card worked great but the store was not NOT_the NOT_kind NOT_of store I would shop it.,The Gift card worked great but the store was not the kind of store ...,1434931200,,Neutral,not notthe nottype notof store expected gift card worked great store not notthe notkind notof store would shop,3.4338,0.4338000000000002
5,,True,"10 3, 2012",A1L51UG0JQ7D0J,B004KNWX6C,,Kindle Customer,Purchasing a printable birthday gift card on Amazon was easy and a quick way to get a gift the birthday person was very glad to receive. He was able to purchase something he had wanted that I did not NOT_know NOT_about.,Birthday gift card purchase,1349222400,,Positive,purchasing printable birthday gift card amazon easy quick way get gift birthday person glad receive able purchase something wanted not notknow notabout,4.9307,0.06930000000000014
